pair,date1,date2,bperp_m,mask_pixel_count,valid_unw_pixel_count,valid_final_pixel_count,valid_unw_ratio,valid_final_ratio,scene_valid_unw_ratio,mean_coh_valid_unw,mean_coh_final,median_coh_final,coherence_dtype,coherence_raw_min,coherence_raw_max,coherence_scale_method,coherence_divisor,unwrap_resampled,unwrap_resampling_method,unwrap_source_shape,unwrap_source_center0,unwrap_target_center0,coherence_resampled,coherence_resampling_method,coherence_source_shape,coherence_source_center0,coherence_target_center0,initial_keep,initial_reject_reason,n_tested_loops,n_bad_loops,bad_loop_fraction,worst_loop_rms_rad,worst_loop_bad_pixel_ratio,worst_loop_valid_ratio,loop_rejected,keep,reject_reason
20240106_20240118,20240106,20240118,98.0,446366,417894,417894,0.9362137797233661,0.9362137797233661,0.11872258460419555,0.6248693466186523,0.6248693466186523,0.729411780834198,uint8,0.0,244.0,uint8_div_255,255.0,False,none,"[1913, 1840]","[-92.425, 0.4866667]","[-92.425, 0.4866667]",False,none,"[1913, 1840]","[-92.425, 0.4866667]","[-92.425, 0.4866667]",True,,2,1,0.5,3.014622858344093,0.16129592393971345,0.8902313348238889,False,True,
20240106_20240130,20240106,20240130,184.0,446366,413228,413228,0.9257604745881183,0.9257604745881183,0.11739698629514307,0.6269652843475342,0.6269652843475342,0.7372549176216125,uint8,0.0,247.0,uint8_div_255,255.0,False,none,"[1913, 1840]","[-92.425, 0.4866667]","[-92.425, 0.4866667]",False,none,"[1913, 1840]","[-92.425, 0.4866667]","[-92.425, 0.4866667]",True,,2,1,0.5,3.014622858344093,0.16129592393971345,0.8902313348238889,False,True,
20240106_20240211,20240106,20240211,-32.0,446366,405750,405750,0.909007406478092,0.909007406478092,0.11527250619332258,0.5928453207015991,0.5928453207015991,0.7058823704719543,uint8,0.0,248.0,uint8_div_255,255.0,False,none,"[1913, 1840]","[-92.425, 0.4866667]","[-92.425, 0.4866667]",False,none,"[1913, 1840]","[-92.425, 0.4866667]","[-92.425, 0.4866667]",True,,2,0,0.0,2.305847897698756,0.14311417355543554,0.8628972636804775,False,True,
20240118_20240130,20240118,20240130,86.0,446366,426058,426058,0.954503703239046,0.954503703239046,0.12104195549898861,0.629159688949585,0.629159688949585,0.7568627595901489,uint8,0.0,244.0,uint8_div_255,255.0,False,none,"[1913, 1840]","[-92.425, 0.4866667]","[-92.425, 0.4866667]",False,none,"[1913, 1840]","[-92.425, 0.4866667]","[-92.425, 0.4866667]",True,,2,2,1.0,4.506312720800952,0.27743348483366703,0.8902313348238889,True,False,loop_closure_unwrapping_error
20240118_20240211,20240118,20240211,-130.0,446366,404984,404984,0.9072913259522455,0.9072913259522455,0.11505488761108207,0.5630859732627869,0.5630859732627869,0.6509804129600525,uint8,0.0,244.0,uint8_div_255,255.0,False,none,"[1913, 1840]","[-92.425, 0.4866667]","[-92.425, 0.4866667]",False,none,"[1913, 1840]","[-92.425, 0.4866667]","[-92.425, 0.4866667]",True,,2,1,0.5,4.506312720800952,0.27743348483366703,0.8704919281486493,False,True,
20240130_20240211,20240130,20240211,-216.0,446366,414744,414744,0.9291567906157727,0.9291567906157727,0.1178276779017705,0.5743882656097412,0.5743882656097412,0.6666666865348816,uint8,0.0,246.0,uint8_div_255,255.0,False,none,"[1913, 1840]","[-92.425, 0.4866667]","[-92.425, 0.4866667]",False,none,"[1913, 1840]","[-92.425, 0.4866667]","[-92.425, 0.4866667]",True,,3,2,0.6666666666666666,4.506312720800952,0.27743348483366703,0.8704919281486493,True,False,loop_closure_unwrapping_error
20240130_20240223,20240130,20240223,-242.0,446366,394808,394808,0.8844938906637154,0.8844938906637154,0.11216391281620036,0.5108237862586975,0.5108237862586975,0.5882353186607361,uint8,0.0,246.0,uint8_div_255,255.0,False,none,"[1913, 1840]","[-92.425, 0.4866667]","[-92.425, 0.4866667]",False,none,"[1913, 1840]","[-92.425, 0.4866667]","[-92.425, 0.4866667]",True,,1,1,1.0,3.5747137249801044,0.17172245979449183,0.8387489190484938,False,True,
20240211_20240223,20240211,20240223,-26.0,446366,408778,408778,0.9157910772773912,0.9157910772773912,0.11613275301711402,0.5594380497932434,0.5594380497932434,0.6627451181411743,uint8,0.0,246.0,uint8_div_255,255.0,False,none,"[1913, 1840]","[-92.425, 0.4866667]","[-92.425, 0.4866667]",False,none,"[1913, 1840]","[-92.425, 0.4866667]","[-92.425, 0.4866667]",True,,1,1,1.0,3.5747137249801044,0.17172245979449183,0.8387489190484938,False,True,
20240211_20240306,20240211,20240306,17.0,446366,394500,394500,0.8838038739509729,0.8838038739509729,0.1120764108275188,0.543095588684082,0.543095588684082,0.6313725709915161,uint8,0.0,245.0,uint8_div_255,255.0,False,none,"[1913, 1840]","[-92.425, 0.4866667]","[-92.425, 0.4866667]",False,none,"[1913, 1840]","[-92.425, 0.4866667]","[-92.425, 0.4866667]",True,,0,0,0.0,0.0,0.0,0.0,False,True,
20240211_20240318,20240211,20240318,31.0,446366,392438,392438,0.8791843464780024,0.8791843464780024,0.1114906020591377,0.563018262386322,0.563018262386322,0.6705882549285889,uint8,1.0,245.0,uint8_div_255,255.0,False,none,"[1913, 1840]","[-92.425, 0.4866667]","[-92.425, 0.4866667]",False,none,"[1913, 1840]","[-92.425, 0.4866667]","[-92.425, 0.4866667]",True,,0,0,0.0,0.0,0.0,0.0,False,True,
